Start date,Start time,End time,Subject
22/03/2021,7:55 AM,9:05 AM,11 CS
22/03/2021,1:50 PM,3:00 PM,12 CS HL/SL
23/03/2021,7:55 AM,9:05 AM,13 CS HL/SL
23/03/2021,9:10 AM,10:20 AM,12 CS HL/SL
23/03/2021,11:45 AM,12:55 PM,12 CS HL
23/03/2021,1:50 PM,3:00 PM,Planning
24/03/2021,7:55 AM,9:05 AM,12 CS HL/SL
24/03/2021,9:10 AM,10:20 AM,11 CS
24/03/2021,11:45 AM,12:55 PM,12 CS HL
25/03/2021,9:10 AM,10:20 AM,13 CS HL/SL
25/03/2021,11:45 AM,12:55 PM,12 CS HL/SL
26/03/2021,9:10 AM,10:20 AM,12 CS HL/SL
26/03/2021,11:45 AM,12:55 PM,11 CS
29/03/2021,7:55 AM,9:05 AM,Planning
29/03/2021,11:45 AM,12:55 PM,13 CS HL/SL
29/03/2021,1:50 PM,3:00 PM,12 CS HL/SL
30/03/2021,11:45 AM,12:55 PM,12 CS HL/SL
30/03/2021,1:50 PM,3:00 PM,11 CS
31/03/2021,7:55 AM,9:05 AM,12 CS HL/SL
31/03/2021,9:10 AM,10:20 AM,12 CS HL
31/03/2021,1:50 PM,3:00 PM,13 CS HL/SL
1/04/2021,7:55 AM,9:05 AM,11 CS
1/04/2021,1:50 PM,3:00 PM,12 CS HL/SL
2/04/2021,7:55 AM,9:05 AM,13 CS HL/SL
2/04/2021,9:10 AM,10:20 AM,12 CS HL/SL
2/04/2021,11:45 AM,12:55 PM,12 CS HL
2/04/2021,1:50 PM,3:00 PM,Planning
5/04/2021,7:55 AM,9:05 AM,12 CS HL/SL
5/04/2021,9:10 AM,10:20 AM,11 CS
5/04/2021,11:45 AM,12:55 PM,12 CS HL
6/04/2021,9:10 AM,10:20 AM,13 CS HL/SL
6/04/2021,11:45 AM,12:55 PM,12 CS HL/SL
7/04/2021,9:10 AM,10:20 AM,12 CS HL/SL
7/04/2021,11:45 AM,12:55 PM,11 CS
8/04/2021,7:55 AM,9:05 AM,Planning
8/04/2021,11:45 AM,12:55 PM,13 CS HL/SL
8/04/2021,1:50 PM,3:00 PM,12 CS HL/SL
9/04/2021,11:45 AM,12:55 PM,12 CS HL/SL
9/04/2021,1:50 PM,3:00 PM,11 CS
12/04/2021,7:55 AM,9:05 AM,12 CS HL/SL
12/04/2021,9:10 AM,10:20 AM,12 CS HL
12/04/2021,1:50 PM,3:00 PM,13 CS HL/SL
13/04/2021,7:55 AM,9:05 AM,11 CS
13/04/2021,1:50 PM,3:00 PM,12 CS HL/SL
14/04/2021,7:55 AM,9:05 AM,13 CS HL/SL
14/04/2021,9:10 AM,10:20 AM,12 CS HL/SL
14/04/2021,11:45 AM,12:55 PM,12 CS HL
14/04/2021,1:50 PM,3:00 PM,Planning
15/04/2021,7:55 AM,9:05 AM,12 CS HL/SL
15/04/2021,9:10 AM,10:20 AM,11 CS
15/04/2021,11:45 AM,12:55 PM,12 CS HL
16/04/2021,9:10 AM,10:20 AM,13 CS HL/SL
16/04/2021,11:45 AM,12:55 PM,12 CS HL/SL
19/04/2021,9:10 AM,10:20 AM,12 CS HL/SL
19/04/2021,11:45 AM,12:55 PM,11 CS
20/04/2021,7:55 AM,9:05 AM,Planning
